id,complexity,type,topic,image_url,question,choices
GXTUJ7fwOZxaqhl4,4,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_mbwk1k5uk4v143rs.png,what shape is the purple object that is the same size as the blue television?,"[{'key': 'a', 'value': 'sofa'}, {'key': 'b', 'value': 'bookshelf'}, {'key': 'c', 'value': 'coffee table'}, {'key': 'd', 'value': 'television'}, {'key': 'e', 'value': 'floor lamp'}]"
mqNaZbmxL15b1iA4,2,numeric,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_cy53iueqfinijw1e.png,how many other objects are the same size as the rubber tire?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '0'}]"
lQxExSdyK6eHlSj4,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_pldg24q020hph1nv.png,do the blue metal object and the cyan wrench have the same size?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
oOktqBsUgS5XWsPw,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_hm0lc006w7r0isoc.png,is there a metal bookshelf that has the same color as the large coffee table?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
kzdkSGrQPtK884cu,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z1ls5qjv81tyaxgg.png,are there any other things that are the same size as the yellow thing?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
9ZJVoANf8kvgRbCY,2,numeric,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ragnswazqcxc3ibr.png,what number of gray rubber objects are there?,"[{'key': 'a', 'value': '3'}, {'key': 'b', 'value': '2'}]"
T1ceeT0od4bmhrxk,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_46peyrd0rgno5tdh.png,is there anything else that is made of the same material as the big red wrench?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
Wc99TtvHapgc9nmk,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_dq7r2hm3g2a0zgec.png,does the purple metal object have the same shape as the yellow rubber thing?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
wsTBqBwNiZASUHi4,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_mru1l41zqn3tju8j.png,are the blue mechanic overalls and the tiny purple tire made of the same material?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
cVPV0HMqYZzC3XdB,2,numeric,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_55ndqh9f2w33j3g9.png,what number of objects have the same color as the lunch box?,"[{'key': 'a', 'value': '3'}, {'key': 'b', 'value': '2'}]"
RGFvX4vE4nmXPsWC,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ua3bk1mlj7cg53wk.png,does the cyan hammer have the same size as the purple rubber mechanic overalls?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
xgqflSjT4ervrBBh,2,numeric,fashion,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_w119exk1pm89g9n6.png,how many shirts are there?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '0'}]"
zfG7ukf4v0LsPIwp,4,mcq,uae,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ktizc266aga89yjq.png,the tiny thing that is the same color as the big bedouin tent is what shape?,"[{'key': 'a', 'value': 'falcon stand'}, {'key': 'b', 'value': 'camel'}, {'key': 'c', 'value': 'falcon'}, {'key': 'd', 'value': 'dallah'}, {'key': 'e', 'value': 'bedouin tent'}]"
1hvWF0ahrL6yq1R8,4,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_y5kt53r6814js88f.png,what is the shape of the large red rubber thing?,"[{'key': 'a', 'value': 'floor lamp'}, {'key': 'b', 'value': 'sofa'}, {'key': 'c', 'value': 'television'}, {'key': 'd', 'value': 'bookshelf'}, {'key': 'e', 'value': 'coffee table'}]"
sf0mZdOkQu4gfn4N,3,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_uq5myqwm7olpkw7o.png,there is a large sofa that is the same color as the large metal coffee table; what material is it?,"[{'key': 'a', 'value': 'metal'}, {'key': 'b', 'value': 'rubber'}]"
rqCHBey4d5qiKZBd,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_eeywgfkeg4p8glj4.png,is the number of small rubber things less than the number of blue medicine bottles?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
2sLIP16bvGTR9qP1,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_n7mzr0vc4n8u0ysj.png,does the cyan rubber thing have the same shape as the small brown rubber thing?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
uWJDmjhRxkbeqcwN,3,mcq,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_7a82gjtuiu437abb.png,how big is the metal object?,"[{'key': 'a', 'value': 'large'}, {'key': 'b', 'value': 'small'}]"
mfkl6t5ySKXmgAbw,4,mcq,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_60rgvpx0dlvps1tf.png,what is the shape of the other metal object that is the same size as the yellow thing?,"[{'key': 'a', 'value': 'tire'}, {'key': 'b', 'value': 'hammer'}, {'key': 'c', 'value': 'wrench'}, {'key': 'd', 'value': 'mechanic overalls'}]"
Lo1QN6iG9rPTdawv,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_sibyufbayi03m83c.png,do the tiny red hammer and the gray wrench have the same material?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
ZPAI9IgJVO9QdwRN,1,true-false,construction-site,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_lm0dn809xufgawyk.png,are there more tiny cyan objects than large purple wheelbarrows?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
6GGegTbGoRl5WKGk,4,mcq,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xge47mfphiimoca3.png,the red object that is the same size as the cyan metal notebook is what shape?,"[{'key': 'a', 'value': 'notebook'}, {'key': 'b', 'value': 'pencil'}, {'key': 'c', 'value': 'lunch box'}, {'key': 'd', 'value': 'backpack'}]"
JBuP9oviQKcNQ5mh,2,numeric,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_3cgdk5cmgg23l79s.png,what number of other things are there of the same size as the blue metal thing?,"[{'key': 'a', 'value': '0'}, {'key': 'b', 'value': '1'}]"
Mn8H5578eo2BCuEM,4,mcq,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0818py2ut3nwn5uq.png,the thing that is the same color as the tire is what shape?,"[{'key': 'a', 'value': 'screwdriver'}, {'key': 'b', 'value': 'tire'}, {'key': 'c', 'value': 'mechanic overalls'}]"
YlJNCYkAI3NE1ipa,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_4o83yybzzt3rt6b1.png,do the rubber hammer and the wrench have the same color?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
P5VOHFZ0D704Db40,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_b1uubgnfztuu76iz.png,are there any other things that have the same shape as the blue metal object?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
GTmqpXHEQa4i9K0z,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_y6skj3vf95ev1cg1.png,how many rubber things are the same size as the yellow rubber sofa?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '3'}]"
F4QeUyVP0vI6lfvR,1,true-false,construction-site,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_nkbsr3tkg710g5gh.png,are any green rubber wheelbarrows visible?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
KKfu69Fy2ua3s5md,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_rcpjsgs9luodg9tz.png,what number of tiny metal things are the same color as the tiny metal television?,"[{'key': 'a', 'value': '0'}, {'key': 'b', 'value': '1'}]"
cWwZToCWDvLWabaU,4,mcq,animals,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yx2o63o9hulig7w9.png,the other thing that is the same material as the tiny gray thing is what shape?,"[{'key': 'a', 'value': 'bird'}, {'key': 'b', 'value': 'dog'}, {'key': 'c', 'value': 'fish'}, {'key': 'd', 'value': 'rabbit'}, {'key': 'e', 'value': 'cat'}]"
W5Vq8Fmllwi6Jl4N,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_u6fmalx5h4q3keha.png,is there any other thing that has the same material as the green hammer?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
IJ1sGLBkxX3rqVPT,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ry8mnxqvjqh81lrt.png,is the number of green metal televisions greater than the number of large yellow objects?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
78zBJI5PgaM5agEc,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_04k28euxu8qdwgxs.png,is there another sofa that has the same size as the sofa?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
2ezgfigQ3UJZwUb8,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_o5mp4lc0pjwlv6gr.png,is the bookshelf the same size as the green thing?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
DBoUIalUNLh59G1H,2,numeric,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_7l5utwcsc42m82x6.png,how many rubber objects are either purple backpacks or blue backpacks?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '0'}]"
jv3Mb8MXOvBR4Y0E,4,mcq,construction-site,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_idvex442qvcwf1np.png,there is a metal object that is the same size as the purple traffic cone; what color is it?,"[{'key': 'a', 'value': 'purple'}, {'key': 'b', 'value': 'brown'}, {'key': 'c', 'value': 'green'}, {'key': 'd', 'value': 'cyan'}, {'key': 'e', 'value': 'yellow'}]"
ExQjyIgwHet4a67m,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_prvxwiplpar2ys0x.png,are there any things that have the same material as the small television?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
wJkcy3iL2HDj9XPS,2,numeric,kitchen,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_v2ch7hr30mnqogu8.png,what number of other plates have the same color as the small plate?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '0'}]"
5y3xi4feJdh1ic4n,1,true-false,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_1jwpfot33qf6hvzj.png,is the material of the big blue object the same as the big red notebook?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
lempMjcaKTjFH2Dx,2,numeric,music,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wijh8imc6cdjhtqm.png,how many yellow objects are either rubber violins or metal things?,"[{'key': 'a', 'value': '3'}, {'key': 'b', 'value': '2'}]"
rcYgZeQ1mRHpRyPm,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_iza4ml2o4o7ogt6q.png,is there a tiny object that has the same material as the iv fluid bag?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
3r2dfXVjHNgps8Is,2,numeric,fashion,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_96oits57twb28bz4.png,what number of green objects are big pants or rubber objects?,"[{'key': 'a', 'value': '2'}, {'key': 'b', 'value': '1'}]"
zqMiomUOyjylbQia,3,mcq,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_398vi75x4ph12z50.png,there is a blue wrench that is made of the same material as the big brown object; what is its size?,"[{'key': 'a', 'value': 'small'}, {'key': 'b', 'value': 'large'}]"
ZN9mKb563ww7nwnA,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_zgjaeolbvsdkoqah.png,is there a big metal thing that has the same shape as the tiny brown metal thing?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
5i3M1a9PCkKneGUD,1,true-false,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_b2kxd467nr1nacmx.png,is there anything else that has the same shape as the red object?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
pvjIt8UvLIoVMelJ,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ex99ab05kowo7nsl.png,what number of brown objects are either sofas or large metal things?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '2'}]"
BV61ZTYapJnLGhov,2,numeric,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2rqsgdc6mne8irs3.png,what number of other tiny things are the same shape as the tiny brown rubber thing?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '3'}]"
YrLyCpZ1vKLBYops,4,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_8lzt8wyunct7tg6n.png,what color is the other metal object that is the same size as the red object?,"[{'key': 'a', 'value': 'brown'}, {'key': 'b', 'value': 'purple'}, {'key': 'c', 'value': 'yellow'}]"
dvuiLTCr5V0uWOJX,1,true-false,construction-site,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_g8ezuhl8n72saxx0.png,is the number of traffic cones less than the number of blue metal hard hats?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
5myNFud59vGZ5vPD,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_45qbx1v6w26bmjai.png,does the big purple thing have the same shape as the large blue metal thing?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
IqS1CLWdyNbgUmNL,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ts2vrdqmdmk42wzh.png,what number of other objects are there of the same shape as the large yellow metal thing?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '0'}]"
Xlxgk9zGbUHIouD4,3,mcq,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_fkan543fnbxfhmpl.png,the metal thing that is the same color as the metal stethoscope is what size?,"[{'key': 'a', 'value': 'small'}, {'key': 'b', 'value': 'large'}]"
XWiaf6ptOeXoAShD,4,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_8902l732svi4if9i.png,what is the shape of the purple metal thing?,"[{'key': 'a', 'value': 'sofa'}, {'key': 'b', 'value': 'bookshelf'}, {'key': 'c', 'value': 'coffee table'}, {'key': 'd', 'value': 'floor lamp'}, {'key': 'e', 'value': 'television'}]"
ASNT7cEfoDRF0c9t,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_gjti27n70hxrr7xc.png,what number of tiny things are made of the same material as the large brown object?,"[{'key': 'a', 'value': '3'}, {'key': 'b', 'value': '2'}]"
VvMZno8k4cxDjzxV,4,mcq,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_vaw3nloc8m051imj.png,there is a yellow object that is the same material as the tiny brown wrench; what is its shape?,"[{'key': 'a', 'value': 'wrench'}, {'key': 'b', 'value': 'mechanic overalls'}, {'key': 'c', 'value': 'screwdriver'}, {'key': 'd', 'value': 'tire'}, {'key': 'e', 'value': 'hammer'}]"
uKidzHQbVur47Zl0,3,mcq,uae,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_l88ngj0ligrg2j1q.png,the rubber thing that is the same shape as the big blue metal thing is what size?,"[{'key': 'a', 'value': 'large'}, {'key': 'b', 'value': 'small'}]"
J28fcVJiB1hvgxd5,2,numeric,kitchen,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xf8jugxgihw0ndvh.png,what number of tiny things are rubber plates or forks?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '4'}]"
mNWRql03Oax5F5BP,3,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wr5frcrnya3gchqz.png,what is the material of the sofa that is the same color as the metal coffee table?,"[{'key': 'a', 'value': 'rubber'}, {'key': 'b', 'value': 'metal'}]"
4rgIjHO2mYRYklQ1,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_flof47qui4jys5vr.png,are there any other things that are the same material as the bookshelf?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
YUMYMfMZNzhCSFM4,3,mcq,kitchen,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ymj654apunureslk.png,what is the material of the other saucepan that is the same color as the small metal saucepan?,"[{'key': 'a', 'value': 'metal'}, {'key': 'b', 'value': 'rubber'}]"
5E5OO7M7CHjRuWn3,2,numeric,construction-site,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_t6hy6kzp8tmwqczy.png,what number of green things are big bulldozers or rubber objects?,"[{'key': 'a', 'value': '3'}, {'key': 'b', 'value': '2'}]"
5GuMNcEZMW58EmDz,3,mcq,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yd0cfxv39mknx5xx.png,there is a blue pencil that is the same material as the tiny purple pencil; what size is it?,"[{'key': 'a', 'value': 'large'}, {'key': 'b', 'value': 'small'}]"
BILDDCs0lT3vUKaU,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_lubxt3pmxjzvrkdm.png,what number of other things are the same size as the gray object?,"[{'key': 'a', 'value': '0'}, {'key': 'b', 'value': '1'}]"
udkeD87aMoXMMk0N,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z4vc16r2fbe4sof3.png,are there any large cyan televisions that have the same material as the large purple television?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
8BQONiWSIVZewxT2,2,numeric,animals,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_cw9bg28r3u1c6ngy.png,what number of things are yellow metal cats or big objects?,"[{'key': 'a', 'value': '2'}, {'key': 'b', 'value': '1'}]"
CxSV05beZx7GfS8p,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2e80dbzn5o7oevd8.png,are there any tiny hammers that have the same color as the tiny rubber wrench?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
vE5gx0dHOTGpj4oO,1,true-false,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_proj030h4c4cmh35.png,is there a television that has the same color as the large metal floor lamp?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
UDYfWfSaUrJT6xZT,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_bzc2ohvwy9k3ynna.png,are there any big green things that have the same shape as the big brown metal object?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
ObtP922l0JrcrIC1,1,true-false,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_qj8gjav9cjq4nfkx.png,do the cyan object and the green metal mechanic overalls have the same size?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
7WNOYesgt3nFeWp6,1,true-false,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_tglkvzsfn88d542r.png,are there any gray metal things of the same shape as the yellow rubber thing?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
UTlx7RXE8LVYuqXr,2,numeric,animals,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_hfio4zfry6xp4jkc.png,how many other things are the same color as the big rubber fish?,"[{'key': 'a', 'value': '0'}, {'key': 'b', 'value': '1'}]"
k8EpHN3yjXcfUzXE,3,mcq,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ngsrq6uqv0ai9jl0.png,there is a hammer that is made of the same material as the large purple thing; what is its size?,"[{'key': 'a', 'value': 'small'}, {'key': 'b', 'value': 'large'}]"
xoTAlXNBFf7HU43n,2,numeric,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_hoxg3lno0k8vgztq.png,what number of rubber things are brown objects or brown injections?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '3'}]"
jm0nxKBSM9D7Drs8,1,true-false,school,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yx9mafqfg1nigqpi.png,are there more green objects than tiny brown pencils?,"[{'key': 'a', 'value': 'True'}, {'key': 'b', 'value': 'False'}]"
